iso3,gcm,scenario,variable,from_year,to_year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
ARG,bccr_bcm2_0,a2,pr,2020,2039,5.225683429133927,4.6697199685039985,4.169989692913441,2.7526332846457056,2.3498915976378263,2.055797572440972,2.0711209614173502,1.9580218263779787,2.1149974641732565,2.700120830708697,3.4422610165354786,4.560727830708721
ARG,bccr_bcm2_0,b1,pr,2020,2039,5.1340301574803835,4.494374145669351,3.8215416484252476,2.720033468110272,2.296826582283495,2.153516121259871,2.0663464661417597,1.8921509137795525,2.070496454330736,2.7477855070866504,3.372023061023666,4.693065248031558
ARG,bccr_bcm2_0,a2,pr,2040,2059,5.404771622047315,4.472042287401634,3.9010029783465083,2.641340460236256,2.1303514751968784,2.1540406236220755,2.0301135429134125,1.9927050551181364,1.996831798425223,2.7741314350394064,3.3234171527559493,4.689909342519747
ARG,bccr_bcm2_0,b1,pr,2040,2059,5.4591620314961355,4.574619736220533,4.17938999212604,2.6393416192913737,2.2426870972441244,2.243047243700817,2.0403476905512083,1.9703557500000262,2.136761263385855,2.7591876405512172,3.5017789740157945,4.715188429133921
ARG,bccr_bcm2_0,a2,pr,2060,2079,5.359290515748102,4.585673669291399,4.204045464566985,2.7021720984252324,2.169685968503966,2.180128012598454,2.1010961133858546,1.9105206870078995,2.1892930137795563,2.7521792862205086,3.50331064173233,4.725165692913448
ARG,bccr_bcm2_0,b1,pr,2060,2079,5.318553342519755,4.552200614173289,4.271133059055175,2.443999235433103,2.2840754011811324,2.216427320078769,2.165563628346485,1.9824068283464829,2.177024491732312,2.787905177952793,3.519932774803196,4.699312685039432
ARG,bccr_bcm2_0,a2,pr,2080,2099,5.226977417322903,4.224454964566985,3.9678202952756427,2.726889140944918,2.127383394094516,2.0387322562992396,2.0532627007874287,1.9519473917323094,2.13427579606302,2.6994473389764133,3.427678316929179,4.4850407992126575
ARG,bccr_bcm2_0,b1,pr,2080,2099,5.4937440590551905,4.5291087440945486,4.162436456692968,2.58680906299216,2.3300231055118417,2.244534262598455,2.0702799216535706,1.956513709448845,2.130169629921288,2.8825515086614555,3.445370343307132,4.897517232283529
AUS,bccr_bcm2_0,a2,pr,2020,2039,6.089964086614254,5.768323468504014,5.744908086614249,3.7971056830709164,2.5133272657480648,2.0084252519685304,1.9146616236220724,1.898114690551206,2.1126164188976655,2.560447985826806,3.303870173622091,5.244524858267786
AUS,bccr_bcm2_0,b1,pr,2020,2039,5.890881736220551,5.6900322795276335,5.53454165354338,4.10482915748037,2.5454695110236556,2.528716934252002,1.9275292716535688,2.0063511661417586,2.0254912043307356,2.2879614586614476,3.63779580118115,5.537181362204797
AUS,bccr_bcm2_0,a2,pr,2040,2059,6.2667127086615,5.9041357913386605,5.508945476378026,3.7988051425197353,2.8283250055118483,2.403089395669323,1.9608720618110493,1.7838607196850629,2.243113323622077,2.2899952870079043,3.632404042913434,5.344062318897708
AUS,bccr_bcm2_0,b1,pr,2040,2059,6.269252507874098,5.90656149606307,5.59707043307094,3.486939011417369,2.9403218169291727,2.3402686590551487,1.945739864173254,2.0681627492126258,1.9503429685039626,2.3782536874016063,3.6900652476378437,5.384953606299284
AUS,bccr_bcm2_0,a2,pr,2060,2079,6.2638604015748856,6.085985622047325,5.841859263779605,3.828008765748082,2.991025311417362,2.3501492271653857,1.7824055925197084,1.9124104086614426,1.9083520700787655,2.307007757874046,3.569528346850441,5.600590736220546
