iso3,gcm,scenario,variable,from_year,to_year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
ARG,bccr_bcm2_0,a2,tas,2020,2039,33.68453052227299,33.49421298687318,33.587542372483675,33.08481908944932,32.75729287954469,32.570837461031445,33.24092424832852,33.55680653498707,33.676068408672634,33.536855785663384,33.49516425499556,33.718789379413074
ARG,bccr_bcm2_0,b1,tas,2020,2039,33.694535475510264,33.44406779362574,33.07412749070383,33.4496845538797,33.048762277456646,32.22032341590296,32.57035997830892,33.48730057936436,33.767490504338014,34.00277592585636,33.68570891160188,33.68758767934941
ARG,bccr_bcm2_0,a2,tas,2040,2059,34.69842969454272,35.049587601881626,34.51404794546307,34.46276925893931,33.52790615375205,33.712825070894446,34.39569931030274,34.88570169302191,34.88402258066058,34.774215287428575,34.93785136296259,35.027440115120825
ARG,bccr_bcm2_0,b1,tas,2040,2059,34.31315395648696,34.235366527851404,34.105434711163284,33.40199860792894,33.55598467313273,32.91795842097346,33.46382100031908,34.63900633591887,33.62321941669154,34.11251191359277,34.06069711538515,34.14401785043647
ARG,bccr_bcm2_0,a2,tas,2060,2079,36.13736032339204,36.26517199002869,36.08151333148642,34.823869793231225,34.574773817795574,34.059681408222204,35.01988173264719,36.62075030987023,36.559235323392556,36.10169859666148,36.054659153865785,36.552265871487904
ARG,bccr_bcm2_0,b1,tas,2060,2079,35.24570676363413,35.017425654484946,34.56720434335503,34.11296879694997,34.434939516507065,33.49337633573158,33.83586824857262,34.676480806790984,35.393248396653384,35.300679602990485,34.70679620596019,34.84080405602052
ARG,bccr_bcm2_0,a2,tas,2080,2099,38.15862497182971,38.208977743296444,37.84947973398084,37.15387138953552,37.00530612652135,36.40573783287673,36.95319923987802,38.36738897470331,38.098981358454964,38.41903580885635,38.094723628118636,38.23906179574816
ARG,bccr_bcm2_0,b1,tas,2080,2099,35.21166182297929,35.08991112342224,35.050710531381036,34.39217312152582,33.98932242760304,34.418118814322966,34.25606677715607,35.879154674823326,35.15053188617409,35.62055024367113,35.52383094200716,35.13615141648494
AUS,bccr_bcm2_0,a2,tas,2020,2039,33.78208374023404,33.59359326171872,33.597210205078184,33.61622363281224,33.84631127929703,33.82156079101556,33.92358007812523,33.91260644531263,33.548508056640486,33.2741767578124,33.85287133789032,33.625785888671686
AUS,bccr_bcm2_0,b1,tas,2020,2039,33.41590551757777,33.80952612304655,33.86993432617205,33.43164208984387,33.83106982421876,33.10918408203136,33.02833471679687,33.41147998046859,33.33476000976576,33.417725830078254,33.32005175781243,33.47936083984362
