iso3,gcm,scenario,variable,from_year,to_year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
ARG,bccr_bcm2_0,a2,pr,2020,2039,-0.06751009038592078,0.2903906804769629,0.1311462030248098,0.035866121172661906,0.03367761600151466,-0.20308174848101126,-0.005228184657477481,0.017237060100221916,-0.016924934597753412,-0.01971287764399647,0.06274561998408824,-0.13425191703030226
ARG,bccr_bcm2_0,b1,pr,2020,2039,-0.15916338038130923,0.1150448503833612,-0.21730187648034083,0.0032662765671033346,-0.019387378463987144,-0.10536317701706358,-0.010002667456724547,-0.0486338496979161,-0.061425952464233796,0.027951797744640634,-0.007492330606157383,-0.00191448649128527
ARG,bccr_bcm2_0,a2,pr,2040,2059,0.11157805899965739,0.09271299524017118,-0.13784054096310186,-0.0754267014861486,-0.18586249308511654,-0.10483869647595805,-0.04623559845538861,0.051920297410436175,-0.13509061302013406,0.054297723882486694,-0.05609824165911605,-0.005070428870572593
ARG,bccr_bcm2_0,b1,pr,2040,2059,0.1659685498084323,0.1952904372642888,0.14054643725538724,-0.07742556011390499,-0.07352687467812691,-0.015832076364284315,-0.03600146702418763,0.029570999747690344,0.00483886665097788,0.039353930905487035,0.12226358977241363,0.02020871232593054
ARG,bccr_bcm2_0,a2,pr,2060,2079,0.06609699051142415,0.20634443881043027,0.16520198044238285,-0.014595073066210839,-0.14652799255360208,-0.07875131733301033,0.02474695943052197,-0.030264084252538098,0.057370613395679664,0.03234557411155545,0.1237952295687252,0.030185926598604404
ARG,bccr_bcm2_0,b1,pr,2060,2079,0.025359794513343737,0.1728713392832325,0.23228954434676297,-0.27276793165532975,-0.03213855907551904,-0.042451988572362355,0.08921450295618558,0.04162206516202631,0.045102086236295885,0.06807144826339825,0.14041737613548674,0.0043329588565977125
ARG,bccr_bcm2_0,a2,pr,2080,2099,-0.06621610286402009,-0.15487427990771116,-0.07102322046599806,0.01012199814983358,-0.18883057904666195,-0.2201470545733457,-0.023086464400962962,0.011162623760751444,0.0023534016566021045,-0.02038638183498577,0.04816293133289338,-0.20993896804606846
ARG,bccr_bcm2_0,b1,pr,2080,2099,0.2005505465199,0.1497794701596823,0.12359293219750088,-0.12995810739818148,0.01380914222599464,-0.014345044121212345,-0.006069213943878259,0.015728954332848228,-0.0017527694457602906,0.16271778944757634,0.06585494419674928,0.20253746982620782
AUS,bccr_bcm2_0,a2,pr,2020,2039,0.3229453256176947,-0.037213707309251436,0.5690037165602356,0.113975597761655,0.01167845994505311,0.04141722445168106,-0.10698638232728214,0.08913620085516498,0.108117799297253,0.21080012927231243,-0.20809460674721977,-0.03222557390832509
AUS,bccr_bcm2_0,b1,pr,2020,2039,0.12386299860868227,-0.11550490217040095,0.35863727689737407,0.4216990619109392,0.043820708600776304,0.5617088995476971,-0.09411873667904547,0.19737268723775517,0.020992584523927573,-0.06168641039117744,0.12583102111753308,0.26043093774991916
